Papel;Cotacao;PL;PVP;PSR;DY;PAtivo;PCapGiro;PEBIT;PAtivCircLiq;EVEBIT;EVEBITDA;MargEBIT;MargLiq;LiqCorr;ROIC;ROE;Liq2meses;PatrimLiquido;DivBrutaPatrim;CrescRec5a
PMET3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.040999999999999995;0.0;-290863000.0;0.0;0.3774
MNSA3;0.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0815;-3.6266000000000003;3.63;-0.135;1.4569999999999999;0.0;-9105000.0;-6.52;-0.4111
MNSA4;0.47;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0815;-3.6266000000000003;3.63;-0.135;1.4569999999999999;0.0;-9105000.0;-6.52;-0.4111
IVTT3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.004;0.0;1083050000.0;0.0;0.20670000000000002
CSTB4;147.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40850000000000003;0.2898;2.6;0.22399999999999998;0.2011;0.0;8420670000.0;0.14;0.3191
CSTB3;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.40850000000000003;0.2898;2.6;0.22399999999999998;0.2011;0.0;8420670000.0;0.14;0.3191
CFLU4;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0888;0.1072;1.1;0.17679999999999998;0.3215;0.0;60351000.0;0.06;0.0814
PORP4;2.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0208;0.0;22399000.0;0.0;0.1366
POPR4;10.17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0866;0.0565;1.08;0.1525;0.1993;0.0;545803000.0;0.82;0.3093
CLAN3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.0105;0.0;1012240000.0;0.0;-0.6396000000000001
